date,area,hour,time_slot,kwh
2026-01-01,A1,0,00:00-02:00,75.22
2026-01-01,A1,2,02:00-04:00,68.55
2026-01-01,A1,4,04:00-06:00,43.89
2026-01-01,A1,6,06:00-08:00,49.14
2026-01-01,A1,8,08:00-10:00,38.6
2026-01-01,A1,10,10:00-12:00,38.6
2026-01-01,A1,12,12:00-14:00,24.74
2026-01-01,A1,14,14:00-16:00,22.3
2026-01-01,A1,16,16:00-18:00,18.59
2026-01-01,A1,18,18:00-20:00,43.26
2026-01-01,A1,20,20:00-22:00,65.13
2026-01-01,A1,22,22:00-24:00,65.11
2026-01-01,A2,0,00:00-02:00,72.54
2026-01-01,A2,2,02:00-04:00,49.91
2026-01-01,A2,4,04:00-06:00,29.65
2026-01-01,A2,6,06:00-08:00,36.63
2026-01-01,A2,8,08:00-10:00,33.92
2026-01-01,A2,10,10:00-12:00,41.89
2026-01-01,A2,12,12:00-14:00,17.28
2026-01-01,A2,14,14:00-16:00,15.76
2026-01-01,A2,16,16:00-18:00,24.4
2026-01-01,A2,18,18:00-20:00,38.65
2026-01-01,A2,20,20:00-22:00,70.71
2026-01-01,A2,22,22:00-24:00,55.04
2026-01-01,A3,0,00:00-02:00,64.28
2026-01-01,A3,2,02:00-04:00,71.16
2026-01-01,A3,4,04:00-06:00,33.09
2026-01-01,A3,6,06:00-08:00,42.25
2026-01-01,A3,8,08:00-10:00,36.4
2026-01-01,A3,10,10:00-12:00,38.25
2026-01-01,A3,12,12:00-14:00,18.19
2026-01-01,A3,14,14:00-16:00,25.56
2026-01-01,A3,16,16:00-18:00,19.96
2026-01-01,A3,18,18:00-20:00,33.65
2026-01-01,A3,20,20:00-22:00,78.64
2026-01-01,A3,22,22:00-24:00,57.18
2026-01-01,A4,0,00:00-02:00,72.19
2026-01-01,A4,2,02:00-04:00,49.42
2026-01-01,A4,4,04:00-06:00,32.03
2026-01-01,A4,6,06:00-08:00,41.18
2026-01-01,A4,8,08:00-10:00,44.43
2026-01-01,A4,10,10:00-12:00,41.03
2026-01-01,A4,12,12:00-14:00,19.65
2026-01-01,A4,14,14:00-16:00,19.1
2026-01-01,A4,16,16:00-18:00,15.56
2026-01-01,A4,18,18:00-20:00,35.68
2026-01-01,A4,20,20:00-22:00,65.16
2026-01-01,A4,22,22:00-24:00,81.1
2026-01-01,A5,0,00:00-02:00,73.61
2026-01-01,A5,2,02:00-04:00,51.49
2026-01-01,A5,4,04:00-06:00,41.94
2026-01-01,A5,6,06:00-08:00,37.69
2026-01-01,A5,8,08:00-10:00,35.94
2026-01-01,A5,10,10:00-12:00,43.67
2026-01-01,A5,12,12:00-14:00,23.09
2026-01-01,A5,14,14:00-16:00,22.79
2026-01-01,A5,16,16:00-18:00,17.48
2026-01-01,A5,18,18:00-20:00,38.14
2026-01-01,A5,20,20:00-22:00,73.48
2026-01-01,A5,22,22:00-24:00,80.24
2026-01-01,A6,0,00:00-02:00,64.97
2026-01-01,A6,2,02:00-04:00,68.05
2026-01-01,A6,4,04:00-06:00,33.36
2026-01-01,A6,6,06:00-08:00,32.82
2026-01-01,A6,8,08:00-10:00,44.88
2026-01-01,A6,10,10:00-12:00,48.14
2026-01-01,A6,12,12:00-14:00,19.78
2026-01-01,A6,14,14:00-16:00,23.01
2026-01-01,A6,16,16:00-18:00,21.08
2026-01-01,A6,18,18:00-20:00,36.13
2026-01-01,A6,20,20:00-22:00,73.79
2026-01-01,A6,22,22:00-24:00,86.15
2026-01-01,B1,0,00:00-02:00,14.92
2026-01-01,B1,2,02:00-04:00,18.52
2026-01-01,B1,4,04:00-06:00,9.11
2026-01-01,B1,6,06:00-08:00,16.85
2026-01-01,B1,8,08:00-10:00,35.46
2026-01-01,B1,10,10:00-12:00,76.41
2026-01-01,B1,12,12:00-14:00,81.1
2026-01-01,B1,14,14:00-16:00,56.15
2026-01-01,B1,16,16:00-18:00,33.85
2026-01-01,B1,18,18:00-20:00,36.87
2026-01-01,B1,20,20:00-22:00,42.76
2026-01-01,B1,22,22:00-24:00,32.28
2026-01-01,B2,0,00:00-02:00,13.18
2026-01-01,B2,2,02:00-04:00,13.87
2026-01-01,B2,4,04:00-06:00,17.06
2026-01-01,B2,6,06:00-08:00,15.74
2026-01-01,B2,8,08:00-10:00,32.22
2026-01-01,B2,10,10:00-12:00,86.16
2026-01-01,B2,12,12:00-14:00,81.16
2026-01-01,B2,14,14:00-16:00,91.62
2026-01-01,B2,16,16:00-18:00,31.31
2026-01-01,B2,18,18:00-20:00,33.28
2026-01-01,B2,20,20:00-22:00,32.94
2026-01-01,B2,22,22:00-24:00,27.32
2026-01-01,B3,0,00:00-02:00,15.67
2026-01-01,B3,2,02:00-04:00,15.59
2026-01-01,B3,4,04:00-06:00,15.01
2026-01-01,B3,6,06:00-08:00,14.47
2026-01-01,B3,8,08:00-10:00,27.57
2026-01-01,B3,10,10:00-12:00,74.95
2026-01-01,B3,12,12:00-14:00,75.89
2026-01-01,B3,14,14:00-16:00,70.37
2026-01-01,B3,16,16:00-18:00,34.15
2026-01-01,B3,18,18:00-20:00,37.12
2026-01-01,B3,20,20:00-22:00,44.9
2026-01-01,B3,22,22:00-24:00,35.92
2026-01-01,C1,0,00:00-02:00,72.7
2026-01-01,C1,2,02:00-04:00,69.22
2026-01-01,C1,4,04:00-06:00,28.49
2026-01-01,C1,6,06:00-08:00,39.84
2026-01-01,C1,8,08:00-10:00,40.36
2026-01-01,C1,10,10:00-12:00,54.78
2026-01-01,C1,12,12:00-14:00,19.42
2026-01-01,C1,14,14:00-16:00,20.9
2026-01-01,C1,16,16:00-18:00,19.9
2026-01-01,C1,18,18:00-20:00,32.99
2026-01-01,C1,20,20:00-22:00,82.0
2026-01-01,C1,22,22:00-24:00,77.9
2026-01-01,C2,0,00:00-02:00,78.31
2026-01-01,C2,2,02:00-04:00,60.45
2026-01-01,C2,4,04:00-06:00,48.42
2026-01-01,C2,6,06:00-08:00,31.59
2026-01-01,C2,8,08:00-10:00,43.52
2026-01-01,C2,10,10:00-12:00,53.14
2026-01-01,C2,12,12:00-14:00,17.03
2026-01-01,C2,14,14:00-16:00,18.3
2026-01-01,C2,16,16:00-18:00,20.3
2026-01-01,C2,18,18:00-20:00,36.98
2026-01-01,C2,20,20:00-22:00,53.72
2026-01-01,C2,22,22:00-24:00,70.72
2026-01-01,C3,0,00:00-02:00,58.85
2026-01-01,C3,2,02:00-04:00,74.97
2026-01-01,C3,4,04:00-06:00,34.48
2026-01-01,C3,6,06:00-08:00,49.3
2026-01-01,C3,8,08:00-10:00,35.3
2026-01-01,C3,10,10:00-12:00,38.07
2026-01-01,C3,12,12:00-14:00,22.44
2026-01-01,C3,14,14:00-16:00,16.31
2026-01-01,C3,16,16:00-18:00,20.68
2026-01-01,C3,18,18:00-20:00,47.84
2026-01-01,C3,20,20:00-22:00,53.12
2026-01-01,C3,22,22:00-24:00,71.94
2026-01-01,C4,0,00:00-02:00,72.73
2026-01-01,C4,2,02:00-04:00,78.21
2026-01-01,C4,4,04:00-06:00,32.58
2026-01-01,C4,6,06:00-08:00,32.08
2026-01-01,C4,8,08:00-10:00,43.13
2026-01-01,C4,10,10:00-12:00,41.78
2026-01-01,C4,12,12:00-14:00,20.75
2026-01-01,C4,14,14:00-16:00,21.04
2026-01-01,C4,16,16:00-18:00,17.96
2026-01-01,C4,18,18:00-20:00,41.39
2026-01-01,C4,20,20:00-22:00,73.08
2026-01-01,C4,22,22:00-24:00,62.5
2026-01-01,C5,0,00:00-02:00,89.59
2026-01-01,C5,2,02:00-04:00,74.98
2026-01-01,C5,4,04:00-06:00,32.85
2026-01-01,C5,6,06:00-08:00,43.94
2026-01-01,C5,8,08:00-10:00,34.15
2026-01-01,C5,10,10:00-12:00,44.72
2026-01-01,C5,12,12:00-14:00,23.48
2026-01-01,C5,14,14:00-16:00,17.54
2026-01-01,C5,16,16:00-18:00,22.89
2026-01-01,C5,18,18:00-20:00,42.48
2026-01-01,C5,20,20:00-22:00,78.63
2026-01-01,C5,22,22:00-24:00,89.92
2026-01-01,C6,0,00:00-02:00,67.42
2026-01-01,C6,2,02:00-04:00,62.09
2026-01-01,C6,4,04:00-06:00,34.66
2026-01-01,C6,6,06:00-08:00,35.11
2026-01-01,C6,8,08:00-10:00,39.54
2026-01-01,C6,10,10:00-12:00,42.05
2026-01-01,C6,12,12:00-14:00,20.83
2026-01-01,C6,14,14:00-16:00,22.48
2026-01-01,C6,16,16:00-18:00,20.04
2026-01-01,C6,18,18:00-20:00,48.72
2026-01-01,C6,20,20:00-22:00,67.22
2026-01-01,C6,22,22:00-24:00,98.56
2026-01-01,Common Area,0,00:00-02:00,76.57
2026-01-01,Common Area,2,02:00-04:00,61.0
2026-01-01,Common Area,4,04:00-06:00,33.57
2026-01-01,Common Area,6,06:00-08:00,42.89
2026-01-01,Common Area,8,08:00-10:00,38.66
2026-01-01,Common Area,10,10:00-12:00,44.28
2026-01-01,Common Area,12,12:00-14:00,21.42
2026-01-01,Common Area,14,14:00-16:00,19.78
2026-01-01,Common Area,16,16:00-18:00,17.46
2026-01-01,Common Area,18,18:00-20:00,30.91
2026-01-01,Common Area,20,20:00-22:00,65.31
2026-01-01,Common Area,22,22:00-24:00,78.99
2026-01-02,A1,0,00:00-02:00,72.25
2026-01-02,A1,2,02:00-04:00,56.92
2026-01-02,A1,4,04:00-06:00,41.04
2026-01-02,A1,6,06:00-08:00,42.31
2026-01-02,A1,8,08:00-10:00,34.7
2026-01-02,A1,10,10:00-12:00,40.92
2026-01-02,A1,12,12:00-14:00,20.17
